#Num   Rad[UVIS pix]    5Sigma[cps]
1           5.0000000       0.65742140
2           7.5000000       1.0361985
3         10.000000         1.4569422
4         12.500000         2.1025045
5         15.000000         3.0471740
6         17.500000         3.2792433
7         20.000000         5.1659901
8         22.500000         6.3281248
9         25.000000         5.2525143
10       27.500000         7.1851233
11       30.000000         7.9448046
12       32.500000         7.8118353
13       35.00000         10.862884
14       37.500000       14.289554
15       40.000000       12.621768
16       42.500000       16.803493
17       45.000000       16.176534
18       47.500000       17.744819
19       50.000000       17.912509
20       52.500000       22.941224
21       55.000000       25.813739
